Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
55.5,38.19642,37.05988,36.37492,34.89436,34.78909,34.26138,34.31146
56,38.34991,37.21331,36.52565,35.02957,34.93508,34.41023,34.44579
56.5,38.49984,37.33935,36.66837,35.17159,35.10589,34.60076,34.60801
57,38.67069,37.5104,36.82528,35.34033,35.25594,34.77777,34.75788
57.5,38.82206,37.67873,36.97785,35.52648,35.40186,34.99487,34.91228
58,38.97852,37.8202,37.14089,35.70195,35.56941,35.14772,35.08527
58.5,39.17311,37.98887,37.31972,35.86127,35.71659,35.26594,35.25099
59,39.54893,38.19318,37.50456,35.97243,35.87056,35.44193,35.3739
59.5,40.08943,38.53498,37.81904,36.14813,36.03365,35.65043,35.55062
60,40.66614,38.99642,38.15949,36.34892,36.198,35.84685,35.72321
60.5,41.29931,39.45929,38.53293,36.53601,36.41363,36.10927,35.92045
61,41.9312,39.94524,38.94937,36.77911,36.62312,36.39847,36.10734
61.5,42.4622,40.46113,39.35875,36.97892,36.87319,36.66375,36.32923
62,42.89402,40.8681,39.72513,37.27448,37.04499,36.97968,36.54247
62.5,43.17691,41.21222,40.04841,37.56609,37.32103,37.26013,36.82304
63,43.41033,41.50979,40.32184,37.80876,37.61395,37.54159,37.0738
63.5,43.6483,41.75582,40.58537,38.06161,37.91259,37.81991,37.32096
64,43.90287,41.97802,40.83248,38.35119,38.19359,38.13332,37.5638
64.5,44.07196,42.22202,41.06416,38.5933,38.47772,38.41884,37.8315
65,44.24498,42.43367,41.29278,38.84862,38.76386,38.72687,38.08862
65.5,44.38654,42.62449,41.53847,39.14212,38.96156,38.95976,38.34591
66,44.54269,42.7883,41.72523,39.39543,39.23263,39.22777,38.54411
66.5,44.61795,42.94523,41.90161,39.63211,39.481,39.42343,38.80683
67,44.6945,43.11761,42.08089,39.84131,39.72006,39.6485,39.03016
67.5,44.7678,43.25024,42.24736,40.05659,39.97893,39.92226,39.27681
68,44.87276,43.36091,42.38044,40.30442,40.20582,40.06972,39.5015
68.5,44.96249,43.49534,42.55985,40.5316,40.4074,40.25197,39.73138
69,45.08766,43.65271,42.7213,40.74558,40.62071,40.4569,39.95225
69.5,45.213,43.7933,42.87919,40.93058,40.77199,40.67126,40.1404
70,45.34738,43.92947,43.04754,41.1292,40.96877,40.9111,40.33937
70.5,45.45587,44.06594,43.22105,41.29283,41.16384,41.12989,40.51823
71,45.60531,44.22437,43.36798,41.50338,41.36418,41.29275,40.72426
71.5,45.72748,44.3757,43.53498,41.68438,41.54358,41.46586,40.8921
72,45.87704,44.5122,43.68157,41.89086,41.7473,41.62142,41.03588
72.5,45.98554,44.6663,43.84414,42.02599,41.91105,41.79424,41.20693
73,46.11074,44.7856,43.99881,42.20157,42.07758,41.94681,41.37866
73.5,46.29111,44.94413,44.13864,42.38359,42.2745,42.06235,41.54358
74,46.6533,45.14507,44.33485,42.56868,42.44195,42.31862,41.71228
74.5,47.20576,45.49649,44.62479,42.76597,42.62601,42.54684,41.91133
75,47.84494,45.94902,44.98487,42.97589,42.8011,42.78908,42.10256
75.5,48.53708,46.46749,45.43418,43.21264,43.02859,43.03513,42.30017
76,49.22689,47.01734,45.87229,43.4414,43.25623,43.28225,42.5363
76.5,49.89517,47.59689,46.31518,43.70111,43.51622,43.5854,42.78364
77,50.57513,48.14978,46.79798,43.96893,43.76643,43.88316,43.03608
77.5,51.23055,48.69668,47.2468,44.26353,44.0518,44.16011,43.33994
78,51.86118,49.2394,47.71556,44.60269,44.33416,44.4582,43.60154
78.5,52.45904,49.75765,48.16867,44.92288,44.61266,44.81435,43.89203
79,53.09093,50.26797,48.63586,45.27447,44.94392,45.19469,44.16218
79.5,53.67148,50.79091,49.08587,45.61248,45.28434,45.51507,44.48631
80,54.22334,51.31007,49.55108,45.97883,45.6858,45.9032,44.8293
80.5,54.74599,51.79396,50.0099,46.35636,46.07316,46.25036,45.16284
81,55.21488,52.24938,50.43768,46.75872,46.43135,46.60546,45.54306
81.5,55.68071,52.6835,50.86493,47.14061,46.84137,47.02557,45.92784
82,56.06398,53.09074,51.28443,47.5053,47.25293,47.34279,46.25669
82.5,56.25532,53.44384,51.63563,47.88314,47.66858,47.77226,46.58018
83,56.42731,53.68482,51.90574,48.26108,48.06372,48.1074,46.88134
83.5,56.56556,53.89082,52.19137,48.67298,48.35027,48.56719,47.30428
84,56.71857,54.13904,52.46892,49.02758,48.62468,48.96064,47.70667
84.5,56.85236,54.34678,52.74563,49.37842,49.03576,49.28719,48.06986
85,57.02341,54.55287,52.99344,49.71986,49.41867,49.59232,48.41321
85.5,57.21619,54.80466,53.25377,50.03663,49.79446,49.9188,48.72655
86,57.41272,55.01873,53.53538,50.35649,50.13194,50.18136,49.10612
86.5,57.61685,55.24247,53.766,50.62836,50.43066,50.4731,49.43046
87,57.82622,55.47836,54.05051,50.93001,50.74668,50.78885,49.69721
